Layer,Name,GEOID,Population,PCT-I_2019-2023,PCT-C_2019-2023,PCT-S_2019-2023
(Indicator name),,,,"Demographics, 0-4 years (% of residents), 2019-2023","Demographics, 0-17 years (% of residents), 2019-2023","Demographics, 65 and older (% of residents), 2019-2023"
(Definition),,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---
Census tract,Tract 101,17031010100,4905,3.462157809983897,5.958132045088567,14.358561460010735
Census tract,Tract 102.01,17031010201,6939,10.648392198207697,24.56510279388508,8.724301528729574
Census tract,Tract 102.02,17031010202,2742,1.5714833269451896,15.983135300881566,15.369873514756613
Census tract,Tract 103,17031010300,6305,2.7412454444620504,7.114561876089367,20.598954206940263
Census tract,Tract 104,17031010400,5079,1.5880429705744978,2.171882297991593,9.878561419897244
Census tract,Tract 105.01,17031010501,4206,4.234157431088378,7.274793975561239,10.258596192100027
Census tract,Tract 105.02,17031010502,3278,2.102733553619706,12.946830880144184,7.1192550315410035
Census tract,Tract 105.03,17031010503,2565,2.7777777777777777,7.770745428973277,23.347398030942333
Census tract,Tract 106,17031010600,6225,2.7728085867620753,12.745974955277282,11.121049493142516
Census tract,Tract 107.01,17031010701,3673,5.31766022949902,19.70333053456479,15.28127623845508
Census tract,Tract 107.02,17031010702,4776,10.29810298102981,30.371660859465734,2.8261711188540457
Census tract,Tract 201,17031020100,4202,5.951795376291195,17.51106738809641,10.083620265617316
Census tract,Tract 202,17031020200,7128,10.427326787442954,34.51804729636288,14.258055593970406
Census tract,Tract 203.01,17031020301,5261,8.491528883445602,27.107572974076344,26.80138803837518
Census tract,Tract 203.02,17031020302,5010,4.321876929409344,27.63943198188928,19.3043836180284
Census tract,Tract 204,17031020400,4435,5.803468208092485,20.763005780346823,12.786127167630056
Census tract,Tract 205,17031020500,6599,9.976456739258388,26.41259564449676,13.140082401412595
Census tract,Tract 206.01,17031020601,6699,6.69350780070458,33.93725884918638,13.370239892635464
Census tract,Tract 206.02,17031020602,4662,7.304347826086957,25.217391304347824,13.56521739130435
Census tract,Tract 207.01,17031020701,1879,2.756141402037148,16.89634511683643,30.617136009586577
Census tract,Tract 207.02,17031020702,7717,7.892873997168476,32.92826805096743,16.104294478527606
Census tract,Tract 208.01,17031020801,5648,5.726872246696035,19.897209985315712,16.501468428781205
Census tract,Tract 208.02,17031020802,7546,6.48053569401884,33.02689819543752,6.991260923845194
Census tract,Tract 209.01,17031020901,5848,6.945765937202664,28.81382810022201,8.182683158896289
Census tract,Tract 209.02,17031020902,4488,3.3055885850178357,18.549346016646847,21.759809750297265
Census tract,Tract 301.01,17031030101,3687,2.0858164481525625,9.35637663885578,21.573301549463647
Census tract,Tract 301.02,17031030102,3121,0.0,5.5245371730825745,21.892447840141052
Census tract,Tract 301.03,17031030103,2104,0.0,4.695652173913043,8.869565217391303
