Layer,Name,GEOID,Population,HCSOBP_2023-2024,HCSHYTP_2023-2024,HCSDIAP_2023-2024,HCSATHP_2023-2024,CCR_2017-2021,VRLE_2023
(Indicator name),,,,"Adult obesity rate (% of adults), 2023-2024","Hypertension rate (% of adults), 2023-2024","Adult diabetes rate (% of adults), 2023-2024","Adult asthma rate (% of adults), 2023-2024","Cancer diagnosis rate (per 100,000 population), 2017-2021","Life expectancy (years), 2023"
(Definition),,,,"Percent of adults who reported a height and weight that yield a body mass index of 30 or greater.","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with high blood pressure (excludes borderline high, pre-hypertensive or hypertension diagnosed only during pregnancy).","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with diabetes (excludes pre-diabetes or diabetes only during pregnancy).","Percent of adults who reported that a doctor, nurse or other health professional has diagnosed them with asthma, and they currently have asthma.","Annual diagnosis rate for all invasive cancers. Does not include pre-cancerous diagnoses such as breast cancer in situ or urinary cancer in situ. All ages, risk-adjusted.","The average number of years a person may expect to live."
(Citation),,,,"Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Chicago Department of Public Health, Healthy Chicago Survey","Illinois Department of Public Health, Illinois State Cancer Registry (Calculated by Metopio)","Illinois Department of Public Health, Death Certificate Data Files"
---,---,---,---,---,---,---,---,---,---
Community area,South Deering,51,14125,51.213260654,50.004429764,27.65118764,10.686501583,660.3968671107906,72.04272378
Community area,East Side,52,21787,43.512201026,31.441791001,18.538604304,15.962317946,461.7798380837158,77.64784485
Community area,West Pullman,53,25940,49.639178347,42.779286499,19.373197936,10.277751252,597.935877,69.9737397
Community area,Riverdale,54,7229,45.815165013,27.816018835,17.636360877,9.2981012098,652.2100315046689,75.58299145
Community area,Hegewisch,55,9884,45.458878104,42.155083447,18.418021784,13.260439424,558.8807095382731,81.65396423
Community area,Garfield Ridge,56,35352,38.678188906,33.056576935,20.123960709,8.175405581,549.8338560395908,78.55299146
Community area,Archer Heights,57,14282,38.649054624,16.459520909,13.427178795,3.0452808951,380.6582532889777,78.72455978
Community area,Brighton Park,58,45141,44.244234848,31.235730119,18.080115293,10.80629342,351.1356852467107,81.56287185
Community area,McKinley Park,59,15927,26.920660519,33.830006527,15.241784994,11.568131869,447.8999034214452,78.18152367
Community area,Lake View,6,103048,23.662534952,19.942353749,6.3330133325,14.725382788,518.0057595257789,83.03115824
Community area,Bridgeport,60,33593,27.651663196,33.129765125,11.773170003,4.6284229815,486.023429289839,81.29897284
Community area,New City,61,43510,35.781860889,24.538158966,18.045982329,7.6293017682,490.7851701617831,75.56000219
Community area,West Elsdon,62,18249,46.071868099,33.48025222,12.144665031,8.9208083854,421.60124326134047,79.31467081
Community area,Gage Park,63,39439,46.462690562,35.165014801,29.628086439,,339.9888297252861,82.87251497
Community area,Clearing,64,24519,39.717986423,37.865450729,16.110785818,3.9669812186,520.7314441402503,79.44959537
Community area,West Lawn,65,33543,44.867164885,33.917857398,23.409774705,,416.5394586220777,80.39168001
Community area,Chicago Lawn,66,55789,50.835616908,37.379556665,18.973563692,8.4465283899,459.8699987236003,75.68339525
Community area,West Englewood,67,29899,47.737702919,38.666743404,22.405431084,15.414360161,619.5730145002658,68.63104345
Community area,Englewood,68,24322,37.721238026,37.103099434,21.350990865,21.998528191,628.9977305040871,67.65982022
Community area,Greater Grand Crossing,69,31543,46.850848479,37.501428271,18.911142758,22.432928732,595.7406168625239,71.6763893
Community area,Lincoln Park,7,70425,25.050156153,20.215178765,3.415143839,8.8124248579,543.7495498913786,83.27656584
Community area,Ashburn,70,41280,51.36309709,39.442682204,14.923888452,9.3605202292,561.0771017785636,77.58704942
Community area,Auburn Gresham,71,44959,45.10353378,45.853974578,19.402436012,13.465730817,634.2535696539178,71.2228777
Community area,Beverly,72,19950,32.994189477,36.933018042,7.5354731027,11.741346776,598.7426840958105,80.56583869
Community area,Washington Heights,73,25075,46.916430176,42.790210572,13.71989202,16.2313442,647.9079695043051,72.15021166
Community area,Mount Greenwood,74,18633,37.181379584,49.918267754,12.127831667,14.733936134,644.9786299997864,79.75868256
Community area,Morgan Park,75,21714,46.452187374,45.979713093,16.800136731,9.0318460607,602.9214074820703,75.52447179
Community area,O'Hare,76,14416,32.327786112,21.933873358,4.7660333837,,472.6944608443366,83.83781222
Community area,Edgewater,77,56308,31.210377675,29.80974067,13.649501703,8.4760934699,485.89228707525245,80.68201483
Community area,Near North Side,8,97789,12.525588374,22.684348187,3.8574535548,5.8118584924,588.0217012784975,84.78667116
Community area,Edison Park,9,11521,23.161109521,37.894593075,11.858101951,9.1063832255,630.4737438451336,80.46780575
