Layer,Name,GEOID,Population,UNS_2018-2022,LNG_2021,DIS_2018-2022,EDB_2018-2022,EDE_2018-2022,UMP_2018-2022,INC_2018-2022,POV_2018-2022,PCT-W_2018-2022,PCT-B_2018-2022,PCT-H_2018-2022
(Indicator name),,,,"Uninsured rate (% of residents), 2018-2022","Chronic obstructive pulmonary disease (COPD) (% of adults), 2021","Disability (% of residents), 2018-2022","High school graduation rate (% of residents), 2018-2022","College graduation rate (% of residents), 2018-2022","Unemployment rate (%), 2018-2022","Median household income, 2018-2022","Poverty rate (% of residents), 2018-2022","Demographics, Non-Hispanic White (% of residents), 2018-2022","Demographics, Non-Hispanic Black (% of residents), 2018-2022","Demographics, Hispanic or Latino (% of residents), 2018-2022"
(Definition),,,,"Percent of residents without health insurance (at the time of the survey).","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis. Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw.","Percent of residents with a disability, defined as one or more sensory disabilities or difficulties with everyday tasks.","Residents 25 or older with at least a high school degree: including GED and any higher education","Residents 25 or older with a four-year college (bachelor's) degree or higher","Percent of residents 16 and older in the civilian labor force who are actively seeking employment.","Income in the past 12 months.","Percent of residents in families that are in poverty (below the Federal Poverty Level).","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Tables B27001/C27001)","PLACES (Sub-county data (zip codes, tracts)), Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data)","American Community Survey (Table S1810)","American Community Survey (Table B15002)","American Community Survey (Table B15002)","American Community Survey (Tables B23025, B23001, and C23002)","American Community Survey (Table B19013)","American Community Survey (Table B17001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 1604,17031160400,4854,15.548249854960355,4.2,10.732933668536068,89.0037095919449,47.08532061473238,6.240393482938825,66316.50103152244,11.139044672210405,51.885515374202285,3.442274221620576,33.997292593308835
Census tract,Tract 1605.01,17031160501,3703,14.862385321100918,4.1,4.250764525993884,84.31122448979592,48.34183673469388,9.37019969278034,67802.83422436168,6.605504587155964,28.654434250764528,14.648318042813454,48.40978593272171
Census tract,Tract 1605.02,17031160502,3300,16.375872382851444,4.5,7.676969092721834,81.68244719592134,40.09468317552804,3.80653828929691,91827.15006987732,7.32801595214357,27.991026919242277,2.268195413758724,54.960119641076766
Census tract,Tract 1606.01,17031160601,3380,4.12920412920413,3.5,4.3623043623043625,95.25302283922974,58.39677563815495,3.0511811023622046,76409.99627320925,4.195804195804196,58.20845820845821,1.1322011322011325,27.605727605727605
Census tract,Tract 1606.02,17031160602,3481,7.159968059622039,3.9000000000000004,6.867181261644929,91.73613628126132,49.80065241029358,2.5735294117647056,77897.24638967146,11.47191908437583,45.062549906840566,1.863188714399787,38.19536864519564
Census tract,Tract 1607,17031160700,5766,6.394490900147565,4.3,15.00245941957698,85.5567117585848,38.41831425598335,5.10554737358861,84919.96441802169,5.574684374487621,38.45171588188348,3.735035913806864,39.16999201915403
Census tract,Tract 1608,17031160800,4997,18.964858670741023,4.7,7.964094728800611,75.77971340264119,39.11211014329868,9.38365650969529,75821.33130726058,5.975866692204559,30.9205500381971,0.6493506493506493,60.82887700534759
Census tract,Tract 1609,17031160900,2410,5.12396694214876,3.8999999999999995,2.8925619834710745,97.23577235772358,65.20325203252033,5.51543007222587,105318.76425830208,3.1404958677685952,59.95867768595041,2.43801652892562,21.694214876033055
Census tract,Tract 1610,17031161000,1899,10.02014098690836,3.8,7.854984894259818,95.558639833449,63.358778625954194,5.862923203963667,93672.00039929901,11.889168765743072,67.87512588116817,1.7623363544813695,22.15508559919436
Census tract,Tract 1611,17031161100,1940,1.6304347826086956,3.500072375390588,4.891304347826087,94.67849223946784,64.7450110864745,5.124099279423539,145234.28341356284,5.809334657398212,67.58893280632411,6.3735177865612656,17.934782608695652
Census tract,Tract 1612,17031161200,2820,11.451444483118692,4.3,4.142011834319527,86.32437619961613,33.1573896353167,7.5,64543.170744692645,16.254785938043856,27.845457709711106,2.9585798816568047,56.17821092934216
Census tract,Tract 1613,17031161300,3899,13.530201342281876,5.3,13.744966442953018,81.15833019932306,33.17036479879654,6.116642958748222,49485.45100823,16.7248322147651,34.863358981162115,0.6633059166887768,57.62801804192094
Census tract,Tract 1701,17031170100,2034,6.253229974160207,9.2,18.34625322997416,88.20192853091322,26.942711287577996,6.0227272727272725,42702.05004547572,23.97932816537468,82.66009852216749,3.891625615763547,9.655172413793103
Census tract,Tract 1702,17031170200,3812,5.6236673773987205,4.7,9.301705756929636,93.06583560576549,29.645500584339697,4.407995899538698,97060.95010980722,4.770788912579958,50.31982942430704,0.1066098081023454,46.00213219616205
Census tract,Tract 1703,17031170300,5216,10.227044404259594,5.8,13.28109302792847,88.43517989720159,25.15705311250714,3.832616347281971,78648.20683688635,4.460518384569018,55.27002609917688,0.0,34.91266813892793
Census tract,Tract 1704,17031170400,4141,10.328403108548509,6.4,12.008022060666834,90.60971633518096,34.23540919465275,7.28910728910729,94457.80394418686,6.919027325144146,57.18225119077464,5.038856856354976,29.85710704437202
Census tract,Tract 1705,17031170500,5316,4.940902925789575,5.4,8.351094749079637,91.19430529923544,30.68810967571843,2.693249387897866,80493.05716630803,2.363882968416973,59.69773299748111,1.6469676419298585,28.32784344119357
Census tract,Tract 1706,17031170600,2551,11.04417670682731,6.3,8.875502008032129,89.72640982691233,26.298157453936348,5.066250974279034,70003.45091949689,8.634538152610443,66.86746987951807,1.3253012048192772,22.329317269076306
Census tract,Tract 1707,17031170700,3068,6.993865030674846,6.3,8.098159509202455,86.389748121962,25.055236411842685,5.334987593052109,75983.6267885268,5.644171779141105,63.466257668711656,0.3680981595092024,31.84049079754601
Census tract,Tract 1708,17031170800,3799,12.571713644300326,6.1,7.83237715140933,89.4773519163763,24.56445993031359,6.069485140226036,59388.226136338424,8.506900878293601,56.87203791469194,1.621351958094288,34.048391119980046
Census tract,Tract 1709,17031170900,1662,29.49238578680203,7.0,10.456852791878172,89.1025641025641,27.163461538461537,14.369747899159664,62809.2681736507,25.888324873096447,47.15736040609137,0.0,51.776649746192895
Census tract,Tract 1710,17031171000,7313,7.204568750915215,5.8,8.083174696148777,94.10497453975717,30.062671367019195,5.599800895968143,75141.89090263759,8.844633182017866,49.31908039244399,5.696295211597598,33.62132083760434
Census tract,Tract 1711,17031171100,4235,10.626370948086766,5.3,8.94467462832074,81.8344039971449,15.881513204853675,2.800875273522976,84708.15506111493,5.5202735710796285,39.38581525712893,2.973434072629783,49.50036558615647
Census tract,Tract 1801,17031180100,6656,6.6356589147286815,5.9,8.914728682170542,87.0210934136892,20.103314679294016,1.7543859649122806,76948.2304398944,16.586126266562744,37.117970660146696,5.34841075794621,53.010391198044005
Census tract,Tract 1901,17031190100,2325,16.5098374679213,5.5,5.389221556886228,70.84432717678101,17.612137203166228,4.351145038167939,56161.571907096426,5.5175363558597095,7.014542343883662,2.9084687767322497,87.76732249786143
Census tract,Tract 1902,17031190200,5652,21.35541140320929,5.2,9.16695117787641,78.89859676992323,24.569764363251256,8.036558462023322,73882.03784467268,17.073590096286107,13.554114032092864,5.547968589962444,75.36701946056674
Census tract,Tract 1903,17031190300,5738,14.445074683304972,6.1,8.073359803365475,71.27741935483871,20.95483870967742,3.949175824175824,63551.05938463586,14.8421251654377,29.11703535640008,3.365475515220268,60.93779542446587
Census tract,Tract 1904.01,17031190401,4325,14.590920126244232,5.5,10.075260985676136,79.46185286103542,23.19482288828338,5.48172757475083,84942.88750859602,9.731707317073171,22.82107307598932,4.879825200291333,63.31633891721291
Census tract,Tract 1904.02,17031190402,5294,13.827614379084968,6.0,8.231209150326798,70.43478260869566,17.950310559006212,3.706422018348624,51827.27394130304,13.398692810457517,26.858660130718956,0.6331699346405228,68.03513071895425
Census tract,Tract 1906.01,17031190601,4382,19.16708479678876,4.4,11.791269443050677,65.64551422319475,9.810357403355214,10.626945309026231,65262.95578872645,1.2543903662819869,14.450577019568488,1.8564977420973403,83.69292523833417
Census tract,Tract 1906.02,17031190602,5378,13.205777527668356,5.299999999999999,9.02269743012568,80.23658395845355,18.638199653779573,2.966432474629196,56214.75347722886,15.470343785417452,18.995318689232985,1.6024486856319768,76.86352178610011
Census tract,Tract 1907.01,17031190701,2972,12.94532627865961,5.7,11.040564373897707,73.15789473684211,20.05847953216374,2.4763292061179896,58740.87805851948,7.760141093474426,22.433862433862437,1.9047619047619049,71.81657848324515
Census tract,Tract 1907.02,17031190702,4952,20.60760569364776,6.4,9.94263862332696,57.30298913043478,10.801630434782608,3.110704483074108,46265.21524434881,25.73074461275869,10.51625239005736,6.862120246441471,82.62162736350118
Census tract,Tract 1908,17031190800,6831,20.5653827078856,5.6,13.291453132749217,76.3640873015873,14.260912698412698,5.928594824762529,48050.46553827725,18.61903126073514,12.481401884609026,4.364357745081832,79.36849065961316
Census tract,Tract 1909,17031190900,1927,11.396468699839486,5.7,13.001605136436597,81.50388936905792,23.249783923941227,5.742821473158552,56390.802812839676,15.74973031283711,11.87800963081862,8.132691278758694,74.21080791867308
Census tract,Tract 1910,17031191000,2422,17.018779342723008,4.4,10.68075117370892,64.00247831474597,9.789343246592315,3.653693407466243,58326.42858093569,6.924882629107981,5.007824726134586,1.9561815336463224,92.84037558685446
Census tract,Tract 1911,17031191100,7533,16.162983010073674,4.3,9.08134115170651,70.31584582441114,15.926124197002142,1.408987052551409,46316.562967235295,32.33207547169811,7.247030521726056,3.593444594797775,83.79191099082844
Census tract,Tract 1912,17031191200,3810,23.04635761589404,5.2,10.013245033112582,57.40402193784278,10.191956124314444,6.4094955489614245,52532.38820736928,19.5362473347548,3.9735099337748343,0.0,96.0
Census tract,Tract 1913.01,17031191301,5214,16.983304548071388,4.7,10.66973709460756,70.45592705167174,6.231003039513678,0.6371963361210673,51126.744293351665,11.80195739781232,3.56937248128958,3.127998464786029,82.78641335636155
Census tract,Tract 1913.02,17031191302,4940,16.91822482541113,4.7,17.594052714575355,57.7922077922078,8.369408369408369,4.6300302899177845,50496.81776436922,6.251425963951632,5.1588195539535935,0.5631899076368552,94.27799053840955
Census tract,Tract 2001,17031200100,4118,8.947081287506819,4.4,9.00163666121113,83.04259634888437,26.28803245436105,7.549068948163059,62711.157345992586,13.271863649063985,12.738679759956357,1.0911074740861977,74.90452809601746
Census tract,Tract 2002,17031200200,5162,19.59413754227734,5.0,10.372040586245772,72.01309328968904,17.51227495908347,2.82413350449294,59217.67834246545,17.587373167981962,15.03945885005637,2.7959413754227733,78.24126268320181
Census tract,Tract 2003,17031200300,2015,20.578778135048232,4.7,7.127545551982852,80.0302571860817,31.391830559757945,5.337361530715005,46318.39681448124,18.917470525187564,8.94962486602358,7.44908896034298,81.72561629153269
Census tract,Tract 2004.01,17031200401,3743,16.17083946980854,5.5,7.422680412371134,70.70805043646945,15.13094083414161,5.695830886670581,64226.83209476696,18.75,6.690140845070422,7.775821596244131,83.74413145539906
Census tract,Tract 2004.02,17031200402,4192,17.42902208201893,4.0,10.784700315457412,61.28311522502394,22.50239387168848,4.343182627269491,70867.19297233745,10.21293375394322,18.88801261829653,1.2618296529968454,75.4140378548896
Census tract,Tract 2101,17031210100,4066,10.252742012398665,3.8,6.03242727706247,87.89346246973365,55.2360774818402,1.7047391749062395,98768.26189578295,5.301031422403455,47.42489270386266,2.503576537911302,42.22699093943729
Census tract,Tract 2104,17031210400,2912,17.55976916735367,5.5,5.523495465787304,77.34877734877735,23.1016731016731,12.226415094339622,57836.7913662681,33.30547430004179,20.152549177037336,3.331995182657567,73.2236049779205
Census tract,Tract 2105.01,17031210501,3555,17.27145847871598,6.0,9.560362875087227,78.79828326180257,35.9656652360515,5.519317611640743,56554.01521772887,25.43614794138172,31.61200279134683,2.861130495464061,54.04745289602233
Census tract,Tract 2105.02,17031210502,4099,18.31368993653672,5.7,6.550317316409791,81.75809649702578,30.99801718440185,2.8208744710860367,68636.31779764414,15.933816863100631,27.765185856754304,1.9945602901178603,59.45149592021759
Census tract,Tract 2106.01,17031210601,2717,8.30670926517572,3.8,8.732694355697552,84.80146052031036,54.9520766773163,10.76998050682261,85775.4541582555,9.584664536741212,37.86373314407381,1.9162526614620297,40.48970901348474
Census tract,Tract 2106.02,17031210602,4148,9.766162310866576,3.5,5.547913801008711,88.12204867417363,48.092989466037054,3.8474991255683806,94099.28680760443,9.307657038055938,30.44475011462632,3.576341127922971,56.14397065566254
Census tract,Tract 2107,17031210700,3907,13.292158968850698,3.8,8.297529538131041,96.5904969169387,49.76423648893725,5.263157894736842,85297.73695068657,5.665950590762621,43.74328678839957,0.966702470461869,50.51020408163265
Census tract,Tract 2108,17031210800,986,21.02473498233216,3.0,6.36042402826855,87.03030303030303,41.93939393939394,8.820023837902264,88555.56658310964,5.696757230499562,43.345008756567424,1.838879159369527,47.02276707530648
Census tract,Tract 2109,17031210900,3170,5.356017643352237,3.1,10.144927536231885,92.7582113177681,50.45508508112386,10.284742881427963,100718.55844184653,6.805293005671078,47.10144927536232,3.150598613736609,38.720856962822936
Census tract,Tract 2203,17031220300,2207,3.2928064842958458,2.7,5.572441742654509,96.66254635352288,75.58714462299135,2.169491525423729,92115.06408749084,8.00405268490375,58.15815815815816,4.254254254254255,25.375375375375377
Census tract,Tract 2204,17031220400,2579,1.872659176029963,2.5,2.621722846441948,94.76635514018692,70.8411214953271,5.422023476802683,105265.58268816966,10.727824109173618,62.99625468164795,4.382022471910112,22.209737827715355
Census tract,Tract 2205,17031220500,2751,2.135231316725979,2.405546236875951,9.323843416370106,96.43811219946572,72.79608192341941,6.097560975609756,86985.79334057987,10.900643316654754,59.288256227758005,5.088967971530249,25.90747330960854
Census tract,Tract 2206.01,17031220601,1635,2.665799739921977,2.9000000000000004,4.031209362808843,99.33110367892976,67.22408026755853,1.2935323383084576,110422.36114376981,5.591677503250976,53.70611183355006,5.136540962288687,32.8998699609883
Census tract,Tract 2206.02,17031220602,4877,4.964045465089306,3.2,5.845511482254697,94.44095477386936,62.06030150753769,4.656084656084656,56734.649171454555,16.167942472744144,57.71547729379055,6.950880444856349,24.65245597775718
Census tract,Tract 2207.01,17031220701,2920,13.68215794605135,2.9,10.399740006499837,84.25925925925925,38.101851851851855,6.07074569789675,69342.34898733335,12.7396815079623,34.93662658433539,2.4374390640233994,58.36854078648034
Census tract,Tract 2207.02,17031220702,3653,12.06502413004826,3.8000000000000003,4.749809499618999,87.65223274695535,44.41813261163735,5.370942812982999,73325.46520552807,15.155342258145996,40.31321040666835,4.1677191209901485,51.25031573629705
Census tract,Tract 2209.01,17031220901,2903,14.045307443365695,5.1,7.087378640776699,82.03650336215178,35.73487031700288,7.773109243697479,57690.083586592424,14.951140065146578,16.666666666666664,14.271844660194176,67.50809061488673
Census tract,Tract 2209.02,17031220902,2959,8.077645585472762,3.8,5.792110206637445,85.79881656804734,36.09467455621302,4.468949506674405,67154.56922291976,16.750156543519097,27.01941139636819,1.941139636819036,68.22166562304321
Census tract,Tract 2210,17031221000,2432,22.287047841306883,3.6,7.856865033061065,84.74393530997305,41.02425876010782,6.489841986455983,75281.26329332948,13.146635550369506,39.24542979385453,4.9786075457020615,51.84753014391288
Census tract,Tract 2211,17031221100,4440,9.700794763908368,3.9,8.041140719962598,88.90433815350389,51.86318131256952,5.337465564738292,80210.64469043235,16.99119146963375,45.66270365477763,6.362835755173932,38.37516512549538
Census tract,Tract 2212,17031221200,2954,3.944153577661431,2.3,3.5951134380453755,96.76404494382022,73.6629213483146,3.3847685415629667,117589.0361809268,13.472949389179757,61.46596858638743,12.87958115183246,13.263525305410123
Census tract,Tract 2213,17031221300,3062,12.188641647293258,3.3,5.77881102623713,87.55102040816325,52.775510204081634,4.354280059376546,74512.8812972781,22.73487128050819,44.40385254068416,3.719694453669877,42.211889737628695
Census tract,Tract 2214,17031221400,3385,6.84398313331171,2.6,7.557573791761271,94.3796835970025,63.78018318068276,3.929188255613126,95894.62326138557,5.87090496269867,50.50275705481674,3.016542328900422,27.732727862471616
Census tract,Tract 2215,17031221500,2909,7.986989519335019,4.1,6.938923021322732,86.32603406326034,49.63503649635037,0.9810333551340744,57307.72643581268,17.961691362486448,50.30719190458981,12.576797976147452,34.513913986266715
Census tract,Tract 2216,17031221600,3159,2.4786072587784007,2.1999756014005136,3.1867807612865158,96.06425702811244,77.46987951807229,3.942181340341656,124001.08307637702,5.683836589698046,63.88315137208617,1.091767483033343,21.186190616701094
Census tract,Tract 2222,17031222200,2156,6.5983058403923325,1.8,2.719572001783326,99.0453460620525,85.32219570405728,2.5489033787788973,169380.5501009339,3.702051739518288,81.31966116807845,4.057066428889879,8.381631743201071
Census tract,Tract 2225,17031222500,1415,4.223433242506812,2.9029607816342353,6.198910081743869,96.85414680648236,69.68541468064824,2.845528455284553,135321.4221256017,8.787465940054497,59.53678474114441,6.062670299727521,29.904632152588555
Census tract,Tract 2226,17031222600,1599,12.251243781094526,3.0,6.778606965174129,89.87138263665595,68.32797427652733,5.785837651122625,82810.12316156081,6.4054726368159205,53.10945273631841,5.037313432835821,31.09452736318408
Census tract,Tract 2227,17031222700,2082,16.19654231119199,3.7,6.824385805277525,86.65749656121045,42.91609353507565,2.58272800645682,73712.40697442267,19.3858845096242,34.15077202543142,6.31244323342416,53.6330608537693
Census tract,Tract 2228,17031222800,960,10.361216730038022,3.7,11.40684410646388,89.41504178272982,31.75487465181058,11.904761904761903,77240.72907562279,21.63965681601525,18.726235741444867,15.96958174904943,63.78326996197718
Census tract,Tract 2229,17031222900,1089,7.099391480730223,3.9,8.72210953346856,86.72922252010724,38.73994638069705,9.133858267716535,92468.99660595843,2.434077079107505,32.048681541582155,5.070993914807302,62.06896551724138
Census tract,Tract 2301,17031230100,1504,11.124694376528115,3.7999999999999994,5.3178484107579465,90.00825763831544,62.34516928158547,6.331658291457286,83286.92344550678,23.689080814312156,32.15158924205379,14.547677261613693,42.42053789731051
Census tract,Tract 2302,17031230200,1834,5.71573090541224,4.8,7.587253414264036,80.34433285509326,43.18507890961262,2.8620988725065044,66094.60551476297,8.851795649974708,32.372281234193224,8.902377339403136,55.23520485584219
Census tract,Tract 2303,17031230300,956,12.817679558011047,4.6,5.856353591160221,74.9514563106796,20.19417475728155,5.2,53819.74897402338,11.049723756906078,10.497237569060774,10.718232044198896,78.78453038674034
Census tract,Tract 2304,17031230400,2235,8.601134215500945,4.3003296869330185,11.436672967863894,84.64788732394366,30.84507042253521,3.990877993158495,47216.98196499478,24.85822306238185,16.776937618147446,0.945179584120983,76.41776937618148
Census tract,Tract 2305,17031230500,3419,17.792207792207794,7.4879603731429105,14.415584415584416,67.11668273866924,20.82931533269045,8.829568788501026,26052.550899531932,24.51298701298701,4.545454545454546,7.4350649350649345,80.06493506493506
Census tract,Tract 2306,17031230600,6817,29.16341762281386,6.0,11.484905870558093,64.20863309352518,20.80335731414868,13.05769679981313,50709.544044898954,12.81878440624649,10.493483346329509,27.058037206193607,62.44847944747689
Census tract,Tract 2307,17031230700,6218,21.202147930019056,5.6,12.24666551186558,75.65991405770411,9.760589318600369,11.308562197092083,29869.703941968542,49.991170757549,7.396500952710896,9.128702580980423,75.10826260176685
Census tract,Tract 2308,17031230800,1234,16.812439261418856,4.8,13.216715257531582,77.8772378516624,25.95907928388747,7.3643410852713185,62795.5143193061,18.77431906614786,12.244897959183673,5.344995140913508,79.98056365403305
Census tract,Tract 2309,17031230900,5044,12.29859269834795,4.3,8.199061798898635,83.59133126934985,37.939769209119056,6.325301204819277,65033.7248829832,21.41977841608535,31.45013257189476,10.381399143381604,54.538037935957576
Census tract,Tract 2311,17031231100,1214,21.80616740088106,7.1,14.390602055800294,78.75,22.8125,4.895104895104895,55320.75294483019,20.631424375917767,2.055800293685756,62.40822320117474,35.02202643171806
Census tract,Tract 2312,17031231200,5983,9.484639919422529,7.5,17.458452241060936,76.6858337689493,15.838996340825927,11.119968114786769,36600.84025821336,38.24072519724694,1.980862850428068,76.48145039449388,16.434446869229475
Census tract,Tract 2315,17031231500,5655,17.076949561025994,8.5,24.238250989843348,71.22186495176848,19.506966773847804,24.411541381928625,34143.48494864571,29.16164572215528,7.299018763986917,65.8805302117404,24.599758994663453
Census tract,Tract 2402,17031240200,1556,4.27263479145473,2.6,12.156663275686672,91.24087591240875,74.18712674187127,3.5056967572305,152629.2724328401,3.0010172939979656,65.51373346897253,1.780264496439471,20.040691759918616
Census tract,Tract 2403,17031240300,1362,1.0236220472440944,2.0,4.960629921259843,97.65784114052953,81.56822810590631,0.9456264775413712,147739.3187515251,6.60377358490566,76.80817610062893,1.650943396226415,5.345911949685535
Census tract,Tract 2405,17031240500,2610,0.0,1.5,3.180914512922465,98.66402770905492,94.01286491835724,1.2345679012345678,157676.02005368352,5.009940357852883,78.84691848906562,1.033797216699801,7.395626242544731
Census tract,Tract 2406,17031240600,1489,6.406345332519829,2.6,3.233679072605247,95.9866220735786,77.50836120401338,3.535811423390753,144817.08316511012,15.518311607697084,63.20927394752898,4.5149481391092126,20.50030506406345
Census tract,Tract 2407,17031240700,1499,5.385556915544676,3.2,7.711138310893513,89.14100486223663,66.93679092382496,1.990950226244344,93619.73575278954,15.055079559363524,50.06119951040392,8.13953488372093,36.65850673194615
Census tract,Tract 2408,17031240800,1687,3.8670284938941655,3.2,7.80189959294437,97.41992882562278,76.24555160142349,2.7105517909002903,119454.97575367687,10.620689655172413,51.75675675675676,3.581081081081081,25.675675675675677
Census tract,Tract 2409,17031240900,1122,6.221408966148216,4.8,8.600182982616651,90.62870699881375,62.158956109134046,2.442528735632184,70079.55558020364,5.3406998158379375,35.95608417200366,9.88106129917658,37.14547118023788
Census tract,Tract 2410,17031241000,2363,11.904761904761903,4.0,9.584859584859586,90.66487575554063,57.42108797850906,4.327666151468315,82692.75693782026,13.909313725490197,41.629464285714285,4.185267857142857,42.74553571428572
Census tract,Tract 2411,17031241100,3574,6.958904109589041,2.9,6.356164383561644,95.6858407079646,60.39823008849557,4.748822605965463,85206.96151201225,12.303881090008256,56.32876712328767,7.589041095890411,29.232876712328764
Census tract,Tract 2412,17031241200,1714,1.5901060070671376,2.7,8.421672555948174,93.7219730941704,78.02690582959642,2.779864763335838,120919.30277956475,10.541813898704358,65.48881036513545,6.9493521790341575,13.133097762073026
Census tract,Tract 2413,17031241300,1848,0.0,2.3,5.371428571428572,97.60900140646976,75.9493670886076,2.4031007751937983,153393.9867343996,10.742857142857144,68.48516949152543,6.514830508474577,15.466101694915254
Census tract,Tract 2414,17031241400,5273,2.4892550143266474,2.3,3.689111747851003,95.7350075773977,83.76271920329076,3.781902552204176,163610.3497415648,5.444126074498568,74.58810888252148,6.106733524355301,7.109598853868195
Census tract,Tract 2415,17031241500,2954,4.1091037902940135,1.6,3.896563939071909,95.04950495049503,84.78847884788479,4.24675905230219,158988.13775815789,6.199078993978038,72.83032235210769,0.9210060219624512,11.760538434289762
Census tract,Tract 2416,17031241600,3534,5.092728878422137,2.0,2.8554607006181927,99.38223938223938,78.68725868725869,2.9706513958482463,102198.47316932496,7.506623491315867,70.3267589049161,0.9420076538121872,19.134530468060053
Census tract,Tract 2420,17031242000,4692,1.0735495660118777,2.9,9.38784833257195,94.1434468524252,73.40041279669762,5.121875964208577,133488.49180327868,5.490734385724091,49.0634993147556,23.02421196893559,9.59342165372316
Census tract,Tract 2421,17031242100,3976,4.689546764474718,1.9,6.628242074927954,97.88257940327236,85.40263073468078,3.906522497384025,164143.0823665121,9.117107676185483,63.63636363636363,0.4715745349751113,18.94157715483364
Census tract,Tract 2422,17031242200,4082,2.8400597907324365,2.0,2.29197807673144,97.63942165830628,83.83003835939805,0.1910828025477707,150398.3972581468,4.110612855007474,78.32585949177877,3.687095166915795,11.210762331838566
Census tract,Tract 2423,17031242300,3568,3.8107752956636007,2.3,3.7582128777923782,95.22555153111624,68.52156733618703,1.9151333082989117,95724.07546751258,4.4331004836109615,71.77398160315374,2.102496714848883,16.793692509855454
Census tract,Tract 2424,17031242400,2902,6.395563770794824,3.2,4.695009242144177,97.26918075422628,84.78543563068921,1.98019801980198,94530.24091040173,6.395563770794824,81.99630314232903,1.7375231053604434,9.09426987060998
Census tract,Tract 2425,17031242500,3426,14.47004608294931,3.7,4.546850998463902,92.5367362722351,61.832946635730856,3.094855305466238,75073.12163091461,11.87751314568512,58.43317972350231,7.1889400921659,28.54070660522273
Census tract,Tract 2426,17031242600,5665,5.460812772133527,3.3,12.645137880986937,84.36345727653287,46.09702043831568,6.487968321657021,72971.53268706049,22.695936139332364,44.230769230769226,11.357039187227866,39.06023222060958
Census tract,Tract 2427,17031242700,1938,5.117038649972782,4.2,12.738160043549266,87.58217677136597,58.58290723155588,1.606805293005671,56816.25537389915,17.69188894937398,47.30538922155689,12.35710397387044,36.2003266194883
Census tract,Tract 2428,17031242800,1507,3.2413793103448274,3.8,6.413793103448276,93.61880772460115,66.75062972292191,2.2660098522167487,127910.8454047339,4.293628808864266,76.20689655172413,0.4137931034482758,21.793103448275865
Census tract,Tract 2429,17031242900,1962,3.297244094488189,2.6,8.858267716535433,94.32624113475178,70.47066408768536,2.693125442948264,131807.77080236917,5.31496062992126,63.38582677165354,3.297244094488189,20.66929133858268
Census tract,Tract 2430,17031243000,2234,7.28744939271255,2.7,4.228520017993702,96.95486677542142,66.557911908646,4.16403785488959,103726.98484882095,4.81331533963113,56.68016194331984,0.9446693657219972,24.51641925326136
Census tract,Tract 2431,17031243100,2249,2.871699861046781,2.5,2.4085224641037515,94.34187016081,69.86301369863014,4.291287386215865,104954.7455799818,3.7054191755442334,48.72626215840667,2.0842982862436314,37.70264011116258
Census tract,Tract 2432,17031243200,2287,4.922279792746114,2.1,4.490500863557859,96.20320855614972,76.41711229946524,2.1517553793884483,124787.80354488785,6.277056277056277,56.46200085873766,7.2992700729927,21.768999570631173
Census tract,Tract 2433,17031243300,2431,11.597374179431071,2.6,2.4945295404814005,92.72445820433435,73.27141382868938,2.806824435883324,117710.07009915925,8.227571115973742,64.07002188183807,2.231947483588621,19.431072210065643
Census tract,Tract 2434,17031243400,2880,4.810644831115661,2.5,3.207096554077107,93.80214541120382,71.75208581644816,3.5426008968609866,114407.31120921049,12.146025247355851,61.82190378710338,2.490617536676902,26.10030706243603
Census tract,Tract 2435,17031243500,4746,4.291657543245019,2.300052713094266,0.3284431793299759,99.7536271557624,81.68628524500411,4.545454545454546,147047.04141618047,7.444712064812788,64.85657981169257,13.093934749288373,13.531858988395006
Census tract,Tract 2502,17031250200,2779,15.40478531628974,5.5,7.210750573582432,77.4,16.5,12.687687687687689,45229.09155038931,17.273025237627007,2.687643395607997,44.21501147164864,52.671255326122576
Census tract,Tract 2503,17031250300,4742,13.418662262592898,7.5,15.379851362510324,74.45550715619166,23.27317983820784,8.93689114781872,43599.718272366285,20.583333333333336,6.028075970272502,63.06771263418662,25.86705202312139
Census tract,Tract 2504,17031250400,5789,7.219299836749501,6.400000000000001,20.007255577725378,81.84438040345822,12.156143568247314,16.520700636942674,42828.58550544599,23.616905496100127,3.500816252494105,75.45800834391439,21.04117540359151
Census tract,Tract 2505,17031250500,7315,6.692742285962624,5.0,8.793278284803709,90.09590917987865,51.49735760422784,4.716247732573206,109585.20987599547,10.328842532232365,37.54889178617992,23.16384180790961,34.66608720846009
Census tract,Tract 2506,17031250600,4203,6.428885953324527,6.8,19.154557463672397,83.69039391845196,17.069799585349,9.589770911028236,60045.66037401007,23.791405550581917,0.3963011889035667,78.2915015411713,21.29018053720828
