geoid,PM25_Hr1,PM25_Hr2,PM25_Hr3,PM25_Hr4,PM25_Hr5,PM25_Hr6,PM25_Hr7,PM25_Hr8,PM25_Hr9,PM25_Hr10,PM25_Hr11,PM25_Hr12,PM25_Hr13,PM25_Hr14,PM25_Hr15,PM25_Hr16,PM25_Hr17,PM25_Hr18,PM25_Hr19,PM25_Hr20,PM25_Hr21,PM25_Hr22,PM25_Hr23,PM25_Hr24
17031010100,28.9624165168991,24.496741588432,19.6090730036096,15.8337286874863,14.6304900602385,13.4770027728088,10.5914929230015,12.2217273733475,12.7423451537764,13.1130061922285,13.3867196418462,12.2662104767618,9.5174913355342,6.3122234603628,6.71209293230058,7.24416301258833,7.94546307294622,7.44802967935024,9.34624722882201,17.7776399631659,15.13969884306,13.1770295718272,13.2345387801835,12.8954259737044
17031010201,28.2796778569176,24.2604733404356,19.1091437859347,16.1008605920239,15.286266383712,14.4561489863375,11.0464023754268,13.105688154974,13.5076674620867,14.0536115375275,14.031280694209,12.8948067497027,10.4305529677523,7.7582165046541,7.8174252858207,8.4312728823444,9.59132925862497,8.8283072955046,10.2840887711539,18.1212685963993,15.6287363370316,14.2732245882943,14.6793421506308,14.0398500745642
17031010202,29.345996084525,25.6749011383159,20.1706648429303,16.1437434926726,15.3007474778698,14.437897813972,10.7974443571412,12.4580422109161,13.2347044686914,13.4682256573451,13.9028808461627,12.6517008613446,9.6403376152218,6.50041669273107,6.85974233294183,7.3466552919078,8.31085611170206,8.21616886201429,9.49485635493506,18.1864078575934,15.9663302132758,14.24100814626,14.2616908819239,13.9110851994052
17031010300,29.1609005326104,24.7799586945101,19.404825726624,15.5567819646984,14.6855836315202,14.0230874053362,10.2901129857778,11.5750593337832,12.0571849076701,12.5141140742763,12.9903301008626,11.9970624238573,8.81643571049561,5.82735422906366,6.43849808133748,6.94846897422686,7.79503048133317,7.10851430324634,8.59051709035977,17.3449170516027,14.9494772802493,12.7760652843685,13.0578882327605,12.5906147272165
17031010400,28.1435248361821,24.1959453838398,18.9190478266435,14.7444730398752,15.0630733843467,13.7703974767624,10.058234419296,11.5564170576193,12.207475705858,12.9959228647859,13.1091532387063,12.1830909480335,8.79901608161644,5.78137792883633,6.23188570317453,6.93932225168527,8.26343378995568,7.92655774623115,9.24263038692862,18.0513895884943,15.4180774582174,12.6465348122688,12.8233550668752,11.933817768713
17031010501,29.6307814282622,25.2869644049818,18.9320324680456,15.3855992776648,14.8091826942045,14.1512642563365,10.6940709182125,11.8407760248719,12.23888119719,12.893821580602,13.3369511492835,11.900963036602,8.79321754045501,5.75536184289936,6.49041303854459,6.88440810446731,8.09426869731049,7.7230832167879,9.15820066146668,18.0931894555306,15.1098035216561,12.6060534769253,13.0457594754278,12.7155270499802
17031010502,28.5425848453063,24.1246106899193,18.7707022974876,14.8995634015934,14.7122085799446,13.7389290475135,10.2331687277039,11.5457805801927,12.111856684278,12.8624721882244,13.0028652103746,11.9708601768036,9.00695824228977,6.07022403182647,6.48868221142347,7.11809782235742,8.45222112602644,8.14319221863385,9.65408166804712,18.2571185714706,15.5825075310307,13.0304001891943,12.9208949337283,12.2960291527566
17031010503,28.3312927203899,24.3125101959293,19.0789979636023,14.8390011273223,15.0347993245434,14.1320576989157,10.36781345645,11.7495597464956,12.5219097852171,13.1689694001416,13.2156394104537,12.2239122922278,9.01921385707304,5.94519279180927,6.57746350564679,7.11763340702522,8.42489808912482,7.9468204790827,9.29227157934822,17.6398733116237,15.3069523586332,12.9583891079126,12.8047750326778,12.1000479897225
17031010600,28.6636630114253,24.3723242558467,18.8823119102522,15.0906955654923,14.4784983133439,13.9294367324451,10.645754155281,12.0920004091165,12.464481328961,13.2250149150207,13.0790054184492,11.9647743041502,9.06122156374328,6.15464417447921,6.75689544864704,7.16529396931282,8.20303769370599,7.96600090140872,9.55013001738867,18.5060702612336,15.6845819462519,13.4230047575056,13.1726775859123,12.5733855379106
17031010701,28.4705906860417,24.8289570965905,19.8515855486791,16.2561591887939,15.6020077094591,14.5109309545787,11.1502716851832,12.7232455404884,13.2677657088507,13.7093311961682,13.3996170936683,12.2602293698373,9.41247471290425,6.56386279489334,6.89087384191866,7.4480660101548,8.54314681229538,8.08721952443147,9.88839290668887,18.5789710040794,16.1261206741988,14.3889947229233,14.6165487950082,14.1023651373666
17031010702,28.7355383587738,24.6383173270766,19.6976351385652,15.9110386975514,15.4611583594541,14.4955028435675,10.9738399390973,12.3985942076976,12.8488737737328,13.5071886778998,13.4067801366447,12.3506521704642,9.27379649819352,6.39630694486437,6.56200254331026,7.26345717248973,8.35112398393309,8.04520728098895,9.52873125183159,18.1831937305274,15.7463945604137,13.7389545349767,13.5939422873386,13.1051273058484
17031020100,27.5205315666436,24.0009055811096,18.7242837991318,15.8072020738428,14.8505297199848,14.196135616802,10.757745150543,12.747476468082,13.0392279335119,13.5019113502127,13.3190159606575,12.1347096061096,9.94155360143387,7.26294119286103,7.3583105008477,7.87106169889343,9.18077279891475,8.23035687342544,10.3448194854578,18.1298726371825,15.9052557094651,14.5869494811428,14.6971464126758,13.807434879827
17031020200,27.0654832276794,23.9076564375718,18.8772179318438,15.0137093867783,14.6691474273991,14.1195825879651,11.3476258665711,12.9727585817039,13.5077151903782,13.8625970316077,13.6131765454322,12.7369712932205,9.73650960352913,7.62635580545718,7.60731425961491,7.78446770148018,8.38026786899109,8.29210597317341,9.75294452920286,17.4587518542225,14.9063465696171,13.5186879146807,14.3331213381368,13.6906198639688
17031020301,27.5545164918949,24.2631733024918,19.8663128250346,15.7952935308455,15.5829281292489,14.7912817260563,11.6762276909819,13.0082025786542,13.6762362763092,14.1598509475326,13.6775033996407,12.7375447784969,9.66234004140927,7.3514695231098,7.45810525040335,7.51097454888368,8.33305081078485,8.19247763127884,9.7522246390325,18.523711399349,15.9540124825227,14.5558332166587,15.1951193057737,15.0714402689212
17031020302,27.3581433222578,24.3789150185267,19.2132297999049,15.8295961451363,15.5799330839935,14.5503986276508,11.5082621937781,12.9561150493267,13.5243535982577,14.0802296650359,13.7632845220532,12.9543605989948,9.98987003177321,7.33373867319841,7.6028570121667,7.77755846201936,8.62089920284884,8.18133060662417,9.79289327673302,19.321428771861,16.678297474336,14.8675681008241,14.9578566018065,14.4327642161184
17031020400,27.5555133430623,24.4596875080643,19.7376636249919,16.1027697069473,15.5921843970826,14.7533619127186,11.4796666010369,13.0477346285239,13.4773935310025,13.8881141695203,13.6150008306203,12.729918370782,9.93582149443003,7.62479817200248,7.90107297715274,8.29021924492003,9.07913290817915,8.304453410209,10.331106762488,20.2411804271644,18.1078795437356,16.1200684197712,16.1053401373683,15.6102728827653
17031020500,28.3098943651704,24.6790198733907,19.2792325606648,15.8168835709961,15.3532699612603,14.379063059007,10.8729286078636,12.712516449688,13.1782009355109,13.6861392056888,13.5453319193484,12.5097248174216,9.50973552330032,6.99220003888517,7.44683244705752,7.79320784112578,8.66884360438362,8.33621303811313,9.83337917947408,20.6247551982884,18.2988277236556,16.2912366675875,16.1633368144916,15.6117629795027
17031020601,27.7868338737348,24.3326180592003,19.280106556605,15.4460033521664,15.2731712354725,14.1292461019689,10.8632508345379,12.4328700939359,13.2255325025643,13.590188567244,13.4137413643427,12.4569321471756,9.12478168591806,6.54050986924885,7.01849275588231,7.25486292792116,8.44704064237971,8.02425512534072,9.57161598952648,19.3407293342836,16.7567412519473,14.5518042576795,14.6330799712153,14.348377314387
17031020602,27.4025936117405,24.179790242317,19.0448421572179,15.6355150935924,15.4436505728803,14.4162129487343,11.1530856429638,12.6875938837144,13.3486929044125,13.7003844584964,13.4357271218938,12.4875312038684,9.3464978875906,7.19880078323912,7.60041076462509,8.26502145195493,8.84738748760723,8.44132585671692,10.0549931873785,20.2974418684407,17.9105111137812,15.8642009031911,15.9223235406905,15.3504223192025
17031020701,26.5338348130426,22.5306066862402,19.383532903084,15.0461454606494,15.0389706531755,13.992550733751,10.5104427014653,11.8865977085978,13.1803587227721,13.5906666961712,13.3554073847943,12.1535444112345,8.94231712729411,5.65041718941348,6.35103703613358,6.45151505362632,7.88574029272244,7.40147584345507,9.41513513264808,18.8281241386547,16.2725332739151,14.5488835761186,14.0417263122454,13.6205439185981
17031020702,26.8738653361823,23.2582775167418,18.7018103265077,15.2619135854539,15.1917455693787,14.1563373839449,10.5739038308308,12.4931963021497,13.1775942570837,13.5886358995376,13.0137705280585,12.3689856543129,9.23302524327404,6.39941552888034,7.17200458092267,7.651892293293,8.85623836713388,8.49594958095142,10.1589450517098,19.8036794724767,16.8421096140443,14.7627654180876,14.9137766624054,14.3748256750813
17031020801,27.3146201213246,23.0542091105077,19.6094087944751,15.3792213523869,15.1458360458467,14.3143928165991,10.5578433916581,11.7560604405796,12.9884331096424,13.2783578299656,13.0971320265247,12.0351899134551,8.53338807000138,5.31529688441822,5.97243517469196,6.1323718492839,7.47677090813757,7.05562962437321,9.0930273119556,18.4202162167328,15.9091106778658,14.2811585118818,14.0743681998947,13.8264452491577
17031020802,27.439057983454,23.359467842939,18.9440653032632,15.2462451854059,14.905815260283,13.7501235399306,10.2281565991144,12.3666554168339,13.0628704096319,13.7320588501775,13.2717308544887,12.4073442420992,9.43429831883759,6.49122054532981,7.14437746664447,7.2738088811443,8.14657335147888,7.8502037492373,9.83076167278866,20.206801377827,17.3382833539108,14.9849819493775,15.1819583507503,14.8382147125403
17031020901,29.0731757914627,25.1474745720227,20.1671808259065,15.9568407245496,15.2752816892874,14.369453978522,10.5707730773306,12.2561370902094,13.0244399428701,13.5602234717913,13.5152083801575,12.3537159433414,9.07905768953266,6.25560295807941,6.984682328703,6.94437956299712,8.07409335563372,8.11291008151776,9.72354696537375,20.3475714582785,17.5715157479561,15.6727933107947,15.6179184770574,15.1473545332687
17031020902,30.1347928114511,25.4717622000825,19.4360879269318,15.8243428140557,15.3714538973351,14.9305062816221,11.4775754234975,12.4385193599162,13.1180250766342,13.6478397670526,13.5138290178505,12.4892668201494,9.39188467306312,6.22716375279697,7.17764380459735,7.36336689335931,8.43389454618137,8.10552046731406,9.32905564140917,19.0812197679645,16.8482420628282,15.4297241451883,15.1838280398011,15.0500028727452
17031030101,28.4880560624434,24.0256154106117,20.0421942971584,15.4363922127569,15.6126265117863,15.5140272109283,11.7828467353843,13.4258976283007,14.2470308751406,14.2271077510125,15.01290980379,13.723181431663,10.0290545971993,6.69447508278213,7.48823382509879,7.96929867762054,9.54604066414446,9.54532218350443,10.7314040400671,17.5194064514006,15.7713088846133,14.3912162552611,14.4667301120147,13.3495433073401
17031030102,28.4542950666745,23.973065080093,20.2075702071082,15.3971716236818,15.5151523517876,15.5503221649926,11.7696799069285,13.2791991492475,14.1456068637759,14.0617495808824,14.9260630160602,13.5565482790256,9.82039939327686,6.39992914043099,7.25174893708958,7.67722016718612,9.33231050472663,9.33901705032367,10.6059801563497,17.15015415836,15.3266659541811,14.0335397149659,14.0102464111163,12.9309249855044
17031030103,28.0968366893145,23.8038002282574,19.994291406555,15.2945615724017,15.4643202315356,15.1150948489349,11.4102310403548,12.8397294491712,13.7856618477273,13.8456506248084,14.4206936131962,13.1062387228514,9.53631511763149,6.24923885273118,7.14043582943725,7.58823434418397,8.97727779271659,8.85097488458449,10.1331842302646,17.0518606049854,15.1659156739191,13.7729595802955,13.7601321699127,12.7908580303313
17031030104,27.4012317657471,23.1782894134522,19.2824172973633,14.7886867523193,15.048773765564,14.0745506286621,10.2779502868652,11.6829519271851,12.9200477600098,13.0782709121704,13.2703018188477,12.0656576156616,8.85545158386231,5.7144570350647,6.6990065574646,7.09784650802612,8.25343132019043,8.06882762908936,9.15017509460449,17.0385932922363,14.6874399185181,12.8919591903687,12.4737329483032,11.726921081543
17031030200,28.6378417158112,24.7626434335898,19.5507207245906,15.3321197498482,15.4874862417383,14.5818194387426,11.325892801092,12.7813534693877,13.7696094645555,14.1429017745295,14.3573036962024,13.2626853579761,9.84940516560583,6.73945999951474,7.59985878420317,8.06170806337335,9.25862777019013,8.82101031119614,9.75632453484681,18.4875562906578,16.4846493770052,14.4889444339414,14.8417472561616,14.4077059447646
17031030300,28.9299315906127,24.6411784517836,18.5922315641477,15.2342695187669,15.4307817615151,14.5400663738396,11.3723053879285,12.7362865825191,13.1401448881954,13.5990048063892,14.2189703418619,13.6721396884007,10.3550209284623,6.94646364588277,7.67339540114022,8.25001999807043,9.37845301914064,8.82684041166155,10.188118201827,19.5317703079385,17.4706582524483,15.6440724932937,15.6845833961848,15.1172612818756
17031030400,28.6555731447918,24.3249046197267,19.036901969066,15.377649995425,15.506154264187,15.2543561466729,11.2870311761632,12.4127599509103,13.3248471681219,13.5857114019937,13.8128852614192,12.9684467544571,9.54692174387692,6.14273320130336,7.14884178111518,7.32274238118956,8.52995204126755,8.16415395104569,9.59123754842456,19.4327827856419,16.8931600287437,15.164329294503,15.5715427249533,14.796384405755
17031030500,27.5095516870405,23.353671485084,19.246560182261,15.3867336850837,15.766910562205,14.952685563821,11.6730910066874,13.3090972841384,14.0864773111445,14.461731742436,14.8397112887084,13.9115314676877,10.3128677001797,6.84755752710524,7.97617342614018,8.4578092166628,9.82343375152787,9.6205565866579,10.6896946777495,19.1544900204775,17.1399323642598,15.8546462038946,16.2863555549734,15.4526830521237
17031030601,28.6052737932631,24.0270011185456,19.4063821125733,15.3654007407271,15.6918638481206,15.427970164427,11.6790467357527,13.655362492803,14.3714715763503,14.4630913850907,15.1529483744472,13.9550547468044,10.3478490551031,7.17693261105325,7.87678717887416,8.41276777007842,9.87377747714258,9.88443773526217,10.9051514423995,18.2538410911911,16.515622431275,14.8974460099399,14.9824777309968,13.7263216738014
17031030603,28.5984233458724,24.1143622298285,19.8084868619594,15.7324310034741,15.9932707559881,15.7124381397328,12.1682272801204,13.9384487658904,14.5999539701749,14.7690709704886,15.3170097171466,14.7496680648781,11.0389904796291,7.95276896048635,8.44991159421921,9.09819404023858,10.1458708520666,9.93958329622432,11.2929769920358,18.6112261817849,16.8454322080903,15.7696871029381,15.7296961337816,14.4588368492724
17031030604,29.2507809936987,24.2427477998107,19.8422956589341,15.8255498813113,16.0307976642509,16.0010788503537,12.208234799923,14.3685231089271,14.9870271415133,15.1663149084837,15.6679656618613,14.4362402363504,10.6869925028067,7.47991297421303,8.0265264238661,8.4631064410132,9.77447652591404,9.95366235101092,11.2938545366887,19.2735870877075,17.1531941500304,15.5928635931081,15.5373242169378,14.1995987585868
17031030701,28.7159939966725,24.1122354867204,19.8400532169777,15.8233089620509,16.0587190740618,15.8910844305155,12.3305977272635,14.0723679638129,14.6924406939433,14.8910454637486,15.4066484100935,14.9549880861079,11.1849675159898,8.10594215115698,8.54760409549705,9.17067098422892,10.0899041831007,9.84583890878035,11.3815955371464,18.7716335741634,16.8532561356023,15.9360640342972,15.7229677592063,14.4011613811516
17031030702,30.1390571594238,24.5400047302246,20.8345603942871,16.5674819946289,16.4586372375488,16.4503078460693,12.5895767211914,14.0862903594971,14.711462020874,15.3613119125366,15.7432403564453,14.0891189575195,10.3583250045776,7.02749061584473,7.5685567855835,8.17521381378174,9.09839248657227,8.91274642944336,10.9596366882324,18.4224300384522,17.5326728820801,15.8925333023071,15.6695804595947,14.383282661438
17031030703,28.5725181430649,23.5577361994896,19.8305975501012,15.7488187754665,15.8798924151515,15.6648267074557,11.8796114909963,13.8694878585238,14.3666185841291,14.8267197026778,15.1013892961969,13.8564463169015,10.521416787765,7.33164054125083,7.90453317304301,8.45179651793312,9.20237524007974,8.85480578438189,10.6798082517968,18.118812669389,17.1972776917421,15.2521959479129,15.3539319418734,14.1819322646699
